Project Code,Currency,Date,USD to GBP,CAD to GBP,AUD to GBP,Accommodation,Air Fares,Equipment,Other,Subsistence,Travel,Salaries - Ops,Salaries - Project Management,Aviation,Internal Trade,Professional Services,Shipping,Subcontractors,Salaries - Production
NMAP23006,GPB,10/07/2023,1.583406,1.19196,1.06332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11909.184000000001,0.0,0.0,0.0,0.0
NMAP23006,GPB,30/06/2023,3.479772,2.371352,2.127884,300.67,0.0,0.0,27.75,205.32,33.5,283.14904764000005,840.96,0.0,164936.544608,0.0,0.0,0.0,2572.46
NMCP22118,GPB,30/06/2023,2.609829,1.778514,1.595913,758.0738073599999,328.12397624,0.0,0.0,116.94915226,613.87189224,1040.48668088,433.61365212,0.0,0.0,0.0,0.0,0.0,113.07
NMCP23017,GPB,10/07/2023,0.791703,0.59598,0.53166,2149.9084529999996,1367.9588537999998,234.488331,57.512069999999994,580.8242286,2181.4775136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NMCP23017,GPB,30/06/2023,2.609829,1.778514,1.595913,1221.58419766,760.74750674,407.51091282,1251.9730735399999,448.20924152,246.36568766,3933.9260253,1800.41040816,0.0,0.0,0.0,640.278048,0.0,21.18
NMIP22035,GPB,30/06/2023,2.609829,1.778514,1.595913,0.0,0.0,0.0,0.0,0.0,4.21,586.62,258.51,11747.19700563,122541.910866,0.0,0.0,0.0,658.44
NMIP22126,GPB,30/06/2023,0.869943,0.592838,0.531971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3021.25984242,0.0,0.0,0.0,0.0,0.0
NMIP22135,GPB,10/07/2023,0.791703,0.59598,0.53166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10074.6,0.0
NMIP22135,GPB,30/06/2023,2.609829,1.778514,1.595913,327.85467883,757.0,652.45725,342.49622128,209.15169606,34.26705477,1252.38322325,350.3,77545.86647586,25086.546291000002,0.0,0.0,636.24,13468.21
NMIP23005,GPB,30/06/2023,2.609829,1.778514,1.595913,539.73873549,912.0482412000001,72.205269,105.81116709,211.74770608,197.9120325,2675.91,957.23976218,69589.350399,144260.037861,0.0,0.0,5236.05,10515.5
NMIP23014,GPB,30/06/2023,1.739886,1.185676,1.063942,375.21511533,0.0,24.23661198,0.0,423.46215411,253.13601414000001,70.78726191000001,702.03,10070.8951395,19287.506253,0.0,0.0,4519.12,2251.42
NMIP23016,GPB,10/07/2023,0.791703,0.59598,0.53166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,940.32,0.0
NMIP23016,GPB,30/06/2023,1.739886,1.185676,1.063942,0.0,0.0,0.0,0.0,0.0,0.0,439.17,704.13682606,10070.8951395,0.0,0.0,0.0,0.0,2291.44
NMIP23019,GPB,10/07/2023,0.791703,0.59598,0.53166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55834.79073876,0.0,0.0,0.0,0.0,0.0
